"";"李定武牧師";"如何作一對好父母﹖";"audio/sermon080511c.mp3";"";"2008-05-11"
"";"Pastor Lee Hearn";"I'll be there!";"audio/sermon080504e.mp3";"";"2008-05-04"
"";"羅天祐傳道";"得救的智慧";"audio/sermon080504c.mp3";"";"2008-05-04"
"";"John Maxham";"Listen with your heart to words of truth";"audio/sermon080427e.mp3";"";"2008-04-27"
"";"陳炎新牧師";"生命知多少";"audio/sermon080427c.mp3";"";"2008-04-27"
"";"羅天祐傳道　Pastor David Lo";"我們願意作見證　We are witnesses";"audio/sermon080420.mp3";"";"2008-04-20"
"";"John Maxham";"Our identity in Christ";"audio/sermon080413e.mp3";"";"2008-04-13"
"";"羅天祐傳道";"逾越節的試驗";"audio/sermon080413c.mp3";"";"2008-04-13"
"";"Peter Vierling";"Soul food";"audio/sermon080406e.mp3";"";"2008-04-06"
"";"羅天祐傳道";"水變酒";"audio/sermon080406c.mp3";"";"2008-04-06"
"";"Pastor Lee Hearn";"What about the voicel";"audio/sermon080330e.mp3";"";"2008-03-30"
"";"羅天祐傳道";"貧窮的人有福了";"audio/sermon080330c.mp3";"";"2008-03-30"
"";"陳炎新牧師 Pastor Yen-Shin Chen";"...和彼得 ...and Peter";"audio/sermon080323.mp3";"";"2008-03-23"
"";"John Maxham";"Jesus paid it all";"audio/sermon080316e.mp3";"";"2008-03-16"
"";"羅天祐傳道";"查驗神的旨意";"audio/sermon080316c.mp3";"";"2008-03-16"
"";"Felix Yen";"Delusion and Reality";"audio/sermon080309e.mp3";"";"2008-03-09"
"";"李定武牧師";"人生的希望";"audio/sermon080309c.mp3";"";"2008-03-09"
"";"Carl Fitzgerald";"Baptism, the two W's and the H why, where, and how";"audio/sermon080302e.mp3";"";"2008-03-02"
"";"劉銘輝牧師";"永生";"audio/sermon080302c.mp3";"";"2008-03-02"
"";"Carl Fitzgerald";"Baptism, the five W's and H's";"audio/sermon080224e.mp3";"";"2008-02-24"
"";"羅天祐傳道";"長成的身量";"audio/sermon080224c.mp3";"";"2008-02-24"
"";"Peter Vierling";"Law, liberty and the pursuit of righteousness";"audio/sermon080217e.mp3";"";"2008-02-17"
"";"于慕潔長老";"多結果子";"audio/sermon080217c.mp3";"";"2008-02-17"
"";"John Maxham";"God speaks";"audio/sermon080210e.mp3";"";"2008-02-10"
"";"羅天祐傳道";"願祂在教會中得著榮耀";"audio/sermon080210c.mp3";"";"2008-02-10"
"";"Felix Yen";"Win the prize";"audio/sermon080203e.mp3";"";"2008-02-03"
"";"李定武牧師";"樂園的失喪﹕罪過與咒詛";"audio/sermon080203c.mp3";"";"2008-02-03"
"";"John Maxham";"The kind of truth God desires";"audio/sermon080127e.mp3";"";"2008-01-27"
"";"羅天祐傳道";"建造教會";"audio/sermon080127c.mp3";"";"2008-01-27"
"";"劉銘輝牧師";"眼光";"audio/sermon080120c.mp3";"";"2008-01-20"
"";"John Maxham";"Truth that lasts";"audio/sermon080113e.mp3";"";"2008-01-13"
"";"羅天祐傳道";"人生規劃";"audio/sermon080113c.mp3";"";"2008-01-13"
"";"Pastor Lee Hearn";"Before time began";"audio/sermon080106e.mp3";"";"2008-01-06"
"";"羅天祐傳道";"新乎﹖舊乎﹖";"audio/sermon080106c.mp3";"";"2008-01-06"
